-0.00324283 0.0143257 -0.00618876 0.999873 
8.42644 3.9744 5.36229 0 0
8.45405 3.97413 5.25068 0 0
8.48219 3.9766 5.2365 0 0
8.56713 3.98751 5.33316 0 0
8.59445 3.98685 5.22157 0 0
8.67846 3.99492 5.24867 0 0
8.70659 3.99848 5.29018 0 0
8.76356 4.0096 5.51238 0 0
8.90009 4.01651 5.3163 0 0
8.95619 4.02917 5.56632 0 0
8.98217 4.02682 5.38514 0 0
9.14361 4.04897 5.50885 0 0
9.17021 4.05312 5.53643 0 0
7.17855 3.89382 5.58143 0 0
7.21161 3.89672 5.59506 0 0
7.37778 3.90779 5.52405 0 0
7.5789 3.9189 5.31351 0 0
7.64631 3.9241 5.28507 0 0
7.68063 3.92994 5.3822 0 0
7.74724 3.93374 5.29809 0 0
7.8145 3.94322 5.40883 0 0
7.84646 3.94163 5.24152 0 0
7.87907 3.94404 5.21338 0 0
8.00864 3.9618 5.37922 0 0
8.04181 3.97305 5.65729 0 0
8.13143 3.97045 5.22496 0 0
8.16154 3.97333 5.21076 0 0
8.19154 3.97698 5.2244 0 0
8.22129 3.98063 5.23803 0 0
8.3381 3.9951 5.2926 0 0
8.36659 3.99747 5.26449 0 0
8.39511 4.00058 5.26422 0 0
8.42334 4.00283 5.23612 0 0
8.48022 4.01034 5.29127 0 0
8.50786 4.01078 5.2075 0 0
8.56375 4.01499 5.16524 0 0
8.61978 4.02009 5.16474 0 0
8.67582 4.02578 5.19208 0 0
8.70429 4.031 5.28926 0 0
8.73123 4.02944 5.14983 0 0
8.8149 4.03968 5.24652 0 0
8.9853 4.08544 6.26103 0 0
9.06121 4.07261 5.49476 0 0
9.35153 4.11813 5.71451 0 0
9.622 4.11979 4.1108 0 0
6.9509 3.91383 5.72159 0 0
7.30825 3.93614 5.5376 0 0
7.34239 3.942 5.64866 0 0
7.54321 3.95269 5.43814 0 0
7.57606 3.9512 5.28474 0 0
7.61084 3.9585 5.43754 0 0
7.64428 3.95985 5.38157 0 0
7.67704 3.95843 5.22817 0 0
7.7111 3.96341 5.29747 0 0
7.74525 3.96922 5.3946 0 0
7.81158 3.97414 5.35224 0 0
7.91632 4.01225 6.35346 0 0
7.94186 3.98466 5.28147 0 0
7.97451 3.99063 5.3786 0 0
8.09791 3.99588 5.113 0 0
8.15912 4.00476 5.19594 0 0
8.21969 4.01567 5.34848 0 0
8.27744 4.01817 5.20874 0 0
8.3371 4.03301 5.50047 0 0
8.36478 4.0318 5.3471 0 0
8.42274 4.04286 5.51358 0 0
8.44938 4.03832 5.24887 0 0
8.47725 4.0397 5.19293 0 0
8.53333 4.04459 5.16458 0 0
8.58916 4.04872 5.12232 0 0
8.67417 4.06144 5.30251 0 0
8.89482 4.0804 5.23092 0 0
9.00372 4.09402 5.28556 0 0
9.03555 4.11951 6.06471 0 0
9.32352 4.14863 5.74167 0 0
9.45229 4.17138 5.79592 0 0
6.91674 3.94416 5.707 0 0
6.94882 3.94903 5.79024 0 0
7.01096 3.9472 5.55309 0 0
7.04393 3.95366 5.692 0 0
7.10839 3.9574 5.64969 0 0
7.14065 3.95828 5.59375 0 0
7.17361 3.96157 5.6213 0 0
7.20715 3.96688 5.71845 0 0
7.30508 3.96702 5.45316 0 0
7.33894 3.97166 5.52246 0 0
7.40527 3.97348 5.39662 0 0
7.47365 3.9834 5.54913 0 0
7.54046 3.98543 5.42328 0 0
7.57315 3.98306 5.24205 0 0
7.60688 3.98552 5.22784 0 0
7.64146 3.99199 5.35281 0 0
7.70805 3.99418 5.22695 0 0
7.74211 3.99951 5.31017 0 0
7.77517 4.00087 5.2542 0 0
7.80763 4.00024 5.12864 0 0
7.84226 4.01044 5.37887 0 0
7.93856 4.01281 5.14138 0 0
8.15655 4.0354 5.15329 0 0
8.27548 4.05161 5.26351 0 0
8.3609 4.05653 5.09567 0 0
8.39212 4.07212 5.52686 0 0
8.41856 4.06649 5.22039 0 0
8.44711 4.0708 5.26188 0 0
8.47505 4.07264 5.21986 0 0
8.53129 4.07843 5.21934 0 0
8.61523 4.08561 5.19074 0 0
8.64284 4.08656 5.13482 0 0
8.67287 4.09867 5.46861 0 0
8.69872 4.09201 5.14824 0 0
8.72821 4.10215 5.41244 0 0
8.7542 4.09674 5.13383 0 0
8.80967 4.1029 5.16116 0 0
8.83702 4.10488 5.13307 0 0
9.08132 4.1351 5.21424 0 0
9.47491 4.20717 5.71117 0 0
7.00914 3.98357 5.6635 0 0
7.0407 3.98364 5.57972 0 0
7.07295 3.98612 5.57944 0 0
7.16995 3.98997 5.45335 0 0
7.23584 3.99463 5.43887 0 0
7.33674 4.00687 5.59111 0 0
7.36989 4.00796 5.53515 0 0
7.4363 4.00941 5.39539 0 0
7.50276 4.01015 5.22779 0 0
7.53702 4.01492 5.29709 0 0
7.6716 4.02329 5.19849 0 0
7.70578 4.02852 5.2817 0 0
7.80535 4.03393 5.16948 0 0
7.87149 4.04058 5.19673 0 0
7.93563 4.04257 5.05697 0 0
8.24784 4.09774 5.87529 0 0
8.27204 4.07824 5.08168 0 0
8.33264 4.09755 5.52651 0 0
8.35872 4.08923 5.12261 0 0
8.38828 4.09727 5.28935 0 0
8.44368 4.09805 5.09396 0 0
8.58412 4.11212 5.07874 0 0
8.6475 4.15086 6.24735 0 0
8.77979 4.13324 5.17441 0 0
8.80651 4.13204 5.03497 0 0
8.89116 4.15172 5.40999 0 0
8.917 4.14846 5.18704 0 0
8.94381 4.15007 5.1311 0 0
8.97115 4.15453 5.17259 0 0
9.05222 4.16589 5.22747 0 0
9.10634 4.17553 5.33829 0 0
6.87991 4.00593 5.63581 0 0
7.03824 4.01717 5.5927 0 0
7.07075 4.02085 5.63418 0 0
7.23429 4.03258 5.60495 0 0
7.43311 4.04015 5.31095 0 0
7.50158 4.05004 5.46346 0 0
7.57038 4.0607 5.64381 0 0
7.70275 4.05925 5.21119 0 0
7.76934 4.06279 5.14102 0 0
