-0.0938113 0.00156241 0.13404 0.986524 
4.05934 2.84462 5.37373 0 0
4.2425 2.80075 5.55076 0 0
4.2844 2.79141 5.6135 0 0
4.42878 2.75715 5.74138 0 0
4.46291 2.74892 5.76309 0 0
4.48927 2.74169 5.74378 0 0
4.52078 2.73392 5.75183 0 0
4.54707 2.72682 5.73253 0 0
4.59402 2.71737 5.82267 0 0
4.65384 2.70646 5.98121 0 0
4.64647 2.70364 5.78411 0 0
4.68817 2.69507 5.84691 0 0
4.74054 2.6819 5.80838 0 0
4.76156 2.67607 5.76176 0 0
4.78777 2.66969 5.74249 0 0
4.87376 2.65308 5.88179 0 0
4.8974 2.64715 5.84884 0 0
4.97612 2.62839 5.79104 0 0
5.01269 2.62086 5.82648 0 0
5.05741 2.60902 5.7469 0 0
5.08621 2.60222 5.74131 0 0
5.11759 2.59503 5.7494 0 0
5.24019 2.56602 5.76812 0 0
5.27138 2.55859 5.77623 0 0
5.33363 2.54372 5.79249 0 0
5.35433 2.53754 5.74592 0 0
5.46761 2.51317 5.87989 0 0
5.47506 2.50879 5.765 0 0
5.56647 2.48799 5.78979 0 0
5.64751 2.47227 5.91587 0 0
5.65687 2.46826 5.8148 0 0
5.68164 2.46254 5.79582 0 0
5.7322 2.45383 5.91364 0 0
5.80488 2.44 5.99882 0 0
5.8442 2.43034 5.90613 0 0
5.86924 2.42489 5.88711 0 0
5.89707 2.41913 5.88172 0 0
5.969 2.40558 5.95288 0 0
6.31706 2.33459 6.09816 0 0
3.27194 3.09286 5.52799 0 0
3.63375 2.99566 5.57087 0 0
3.64144 2.98158 5.15807 0 0
3.67951 2.97266 5.20738 0 0
3.70478 2.96524 5.18826 0 0
3.83002 2.93263 5.23475 0 0
3.94352 2.90576 5.36862 0 0
4.05796 2.87428 5.3463 0 0
4.09186 2.86576 5.36806 0 0
4.24248 2.83891 5.84926 0 0
4.26876 2.83134 5.82996 0 0
4.30382 2.81393 5.53947 0 0
4.33792 2.80551 5.56119 0 0
4.3772 2.79652 5.61027 0 0
4.52129 2.76262 5.7382 0 0
4.55016 2.75518 5.73258 0 0
4.58162 2.74751 5.74065 0 0
4.61564 2.73964 5.76239 0 0
4.6445 2.73249 5.75678 0 0
4.67853 2.72483 5.77853 0 0
4.76209 2.70799 5.90411 0 0
4.7729 2.70339 5.80275 0 0
4.78892 2.69828 5.72874 0 0
4.81526 2.69197 5.70945 0 0
4.90158 2.67553 5.84869 0 0
4.94918 2.66374 5.78274 0 0
5.03865 2.64374 5.77957 0 0
5.05467 2.63863 5.70556 0 0
5.09394 2.63067 5.75466 0 0
5.15171 2.61706 5.74345 0 0
5.19088 2.60892 5.79256 0 0
5.31356 2.58006 5.81127 0 0
5.3655 2.56672 5.77281 0 0
5.39915 2.55917 5.79464 0 0
5.45065 2.54611 5.75627 0 0
5.49692 2.53723 5.84655 0 0
5.51209 2.53214 5.7727 0 0
5.56789 2.51917 5.76188 0 0
5.60077 2.51225 5.78386 0 0
5.68165 2.49684 5.90998 0 0
5.69093 2.49299 5.80892 0 0
5.7079 2.48827 5.74892 0 0
5.7857 2.47383 5.86146 0 0
5.85177 2.46344 6.06136 0 0
5.85079 2.46107 5.90558 0 0
5.90871 2.44924 5.90855 0 0
5.95739 2.44096 6.01256 0 0
5.97795 2.43601 5.96604 0 0
6.12081 2.40544 5.91003 0 0
3.35333 3.11306 5.93828 0 0
3.49635 3.0504 5.11615 0 0
3.61857 3.01839 5.16322 0 0
3.66167 3.00886 5.23991 0 0
3.70679 2.9947 5.17437 0 0
3.7807 2.97708 5.25924 0 0
3.91921 2.94283 5.37405 0 0
3.92173 2.93805 5.23173 0 0
4.09817 2.89458 5.38169 0 0
4.1269 2.88666 5.37608 0 0
4.28607 2.84976 5.58615 0 0
4.31494 2.84186 5.58052 0 0
4.35157 2.83309 5.61593 0 0
4.38304 2.82495 5.62397 0 0
4.46665 2.80637 5.7495 0 0
4.55586 2.78329 5.74631 0 0
4.59507 2.77467 5.79541 0 0
4.62912 2.76675 5.81715 0 0
4.7636 2.73326 5.73431 0 0
4.81914 2.72037 5.70936 0 0
4.87734 2.70737 5.69807 0 0
4.98018 2.68613 5.76322 0 0
5.07002 2.66619 5.75998 0 0
5.09907 2.65953 5.75434 0 0
5.13843 2.65161 5.80343 0 0
5.14416 2.64762 5.67469 0 0
5.202 2.63397 5.66346 0 0
5.29582 2.61593 5.84377 0 0
5.30649 2.61118 5.74244 0 0
5.33776 2.604 5.75054 0 0
5.35606 2.59838 5.69027 0 0
5.3846 2.59157 5.68473 0 0
5.44662 2.57752 5.70104 0 0
5.58488 2.54853 5.81602 0 0
5.66517 2.53034 5.78628 0 0
5.69772 2.52371 5.80833 0 0
5.9127 2.48026 5.89432 0 0
5.95856 2.46981 5.82873 0 0
6.03427 2.45565 5.91333 0 0
6.13733 2.435 5.96427 0 0
6.20565 2.4207 5.9794 0 0
6.31247 2.39796 6.00123 0 0
6.78924 2.30743 6.29186 0 0
3.32038 3.12688 5.03771 0 0
3.43964 3.10849 5.52502 0 0
3.58816 3.05617 5.12729 0 0
3.67244 3.04175 5.42287 0 0
3.64831 3.04025 5.14392 0 0
3.70363 3.02488 5.13313 0 0
3.73915 3.01626 5.16875 0 0
3.76187 3.00915 5.13595 0 0
3.81049 2.99894 5.23993 0 0
3.86667 2.98336 5.22897 0 0
3.92579 2.96739 5.23162 0 0
3.95156 2.95981 5.21241 0 0
4.0292 2.94155 5.31073 0 0
4.13574 2.91527 5.40341 0 0
4.16186 2.9076 5.38413 0 0
4.40101 2.86102 6.01825 0 0
4.54609 2.81337 5.67797 0 0
4.59306 2.80376 5.7681 0 0
4.61423 2.79734 5.72143 0 0
4.64318 2.79015 5.7158 0 0
4.67736 2.78246 5.73753 0 0
4.73808 2.76841 5.73992 0 0
4.79124 2.7557 5.70125 0 0
4.82305 2.74887 5.70926 0 0
4.85228 2.74239 5.70359 0 0
4.87895 2.73627 5.68425 0 0
4.91596 2.72892 5.71961 0 0
4.96931 2.71668 5.68092 0 0
5.05698 2.69722 5.66392 0 0
5.14369 2.68063 5.80309 0 0
5.15988 2.6755 5.72905 0 0
5.17857 2.67002 5.6687 0 0
5.22049 2.66174 5.73146 0 0
5.24944 2.65497 5.72585 0 0
5.25251 2.65127 5.58345 0 0
5.30975 2.6411 5.72832 0 0
5.35176 2.62947 5.63508 0 0
5.40882 2.61939 5.77999 0 0
5.49167 2.59997 5.74974 0 0
5.51219 2.59447 5.70322 0 0
5.55066 2.58688 5.75248 0 0
5.61167 2.5738 5.76901 0 0
5.65395 2.56318 5.68992 0 0
5.71897 2.55005 5.73404 0 0
5.78377 2.53712 5.77821 0 0
5.87878 2.51825 5.83071 0 0
5.93229 2.50941 5.96214 0 0
5.99105 2.49488 5.80898 0 0
6.04683 2.48297 5.78401 0 0
6.1229 2.46826 5.85435 0 0
6.27779 2.43692 5.96614 0 0
6.29858 2.431 5.89121 0 0
6.82459 2.33274 6.2574 0 0
3.31646 3.16975 5.4221 0 0
3.375 3.14195 5.01356 0 0
3.46588 3.11811 5.05255 0 0
3.56041 3.09374 5.10502 0 0
3.63068 3.07662 5.17641 0 0
3.653 3.0696 5.14369 0 0
3.68054 3.06195 5.13832 0 0
3.70819 3.05428 5.13293 0 0
3.74622 3.04536 5.18224 0 0
3.76885 3.03827 5.14946 0 0
3.85053 3.01969 5.27535 0 0
3.88375 3.01128 5.29724 0 0
3.89641 3.0053 5.20967 0 0
3.93498 2.99622 5.25888 0 0
3.96587 2.98805 5.26703 0 0
3.99168 2.98043 5.24782 0 0
4.08222 2.96056 5.41453 0 0
4.13424 2.94523 5.37601 0 0
4.1655 2.93692 5.3841 0 0
4.20454 2.92768 5.43321 0 0
4.4159 2.87522 5.60472 0 0
4.43955 2.86798 5.57175 0 0
4.46836 2.86018 5.56613 0 0
4.53076 2.84846 5.73834 0 0
4.58853 2.83331 5.72709 0 0
4.62005 2.8256 5.73514 0 0
4.64646 2.81867 5.71583 0 0
4.70726 2.80434 5.7182 0 0
4.73904 2.79723 5.72621 0 0
4.77091 2.79026 5.73421 0 0
4.79247 2.7846 5.68749 0 0
4.82441 2.7778 5.69548 0 0
4.85378 2.77137 5.68979 0 0
4.87802 2.76558 5.65673 0 0
4.9678 2.74913 5.80949 0 0
4.97137 2.74583 5.66701 0 0
5.05077 2.73053 5.76506 0 0
5.05684 2.72683 5.63627 0 0
5.10939 2.71755 5.7537 0 0
5.13088 2.71191 5.70699 0 0
5.22864 2.69081 5.74475 0 0
5.2815 2.67807 5.70614 0 0
5.33154 2.66566 5.65389 0 0
5.35776 2.65935 5.63462 0 0
5.4046 2.6506 5.7248 0 0
5.4826 2.6321 5.66713 0 0
5.51873 2.62484 5.70266 0 0
5.59523 2.60716 5.6453 0 0
5.67379 2.59231 5.75769 0 0
5.76604 2.57331 5.79654 0 0
5.78809 2.56809 5.76391 0 0
5.84008 2.55682 5.73967 0 0
5.97179 2.53115 5.82761 0 0
6.06878 2.51184 5.86555 0 0
6.42703 2.43666 5.9663 0 0
6.5046 2.42085 5.99381 0 0
6.7662 2.37412 6.25518 0 0
6.94973 2.34538 6.36162 0 0
3.04953 3.25802 4.95006 0 0
3.08687 3.25013 5.0137 0 0
3.27913 3.20039 5.06132 0 0
3.31038 3.19253 5.08359 0 0
3.35533 3.17872 5.03227 0 0
3.66094 3.13807 6.5044 0 0
3.41135 3.16344 5.03552 0 0
3.51702 3.1421 5.29856 0 0
