0.001742 0.00114586 0.00212108 0.999996 
7.9603 2.59082 4.07988 0 0
7.99028 2.5947 4.0939 0 0
8.02036 2.59845 4.094 0 0
8.11047 2.60926 4.12213 0 0
8.17035 2.61619 4.12233 0 0
8.20017 2.61964 4.12242 0 0
8.22987 2.62308 4.12252 0 0
8.31814 2.63362 4.16457 0 0
8.43394 2.64815 4.16494 0 0
6.44069 2.5053 4.20011 0 0
6.46982 2.50651 4.14451 0 0
6.52715 2.50935 4.15863 0 0
6.55574 2.51075 4.13088 0 0
6.61276 2.51367 4.04752 0 0
6.66961 2.51682 3.99202 0 0
6.69819 2.51844 3.95034 0 0
6.78456 2.52376 3.9367 0 0
6.81406 2.52546 3.88111 0 0
6.90473 2.53085 3.81179 0 0
6.93591 2.53267 3.81189 0 0
6.96772 2.53449 3.812 0 0
7.00027 2.53624 3.79818 0 0
7.03345 2.53801 3.7983 0 0
7.06723 2.53977 3.81233 0 0
7.10157 2.54156 3.82637 0 0
7.13656 2.54325 3.79864 0 0
7.17184 2.54506 3.79876 0 0
7.20751 2.54686 3.77103 0 0
7.24327 2.54883 3.78508 0 0
7.27905 2.55094 3.81304 0 0
7.3151 2.55298 3.77139 0 0
7.35086 2.55529 3.78544 0 0
7.42187 2.56017 3.75782 0 0
7.45676 2.56286 3.75794 0 0
7.49107 2.56576 3.7859 0 0
7.52503 2.5687 3.75816 0 0
7.55832 2.57187 3.7722 0 0
7.62117 2.58013 4.44076 0 0
7.71769 2.59006 3.96765 0 0
7.77938 2.59796 3.99569 0 0
7.84022 2.60608 4.02373 0 0
7.90033 2.61436 4.09354 0 0
7.96029 2.6224 4.10766 0 0
7.99022 2.62633 4.1356 0 0
8.02038 2.63003 4.10785 0 0
8.05054 2.63365 4.09402 0 0
8.08055 2.63729 4.12197 0 0
8.1406 2.64432 4.12216 0 0
8.17045 2.6478 4.13618 0 0
8.20027 2.65124 4.13627 0 0
8.2302 2.65454 4.06675 0 0
8.31829 2.66515 4.13665 0 0
6.2267 2.53132 5.75881 0 0
6.46831 2.53786 4.15836 0 0
6.5546 2.54205 4.06118 0 0
6.58265 2.5438 4.15874 0 0
6.63973 2.54665 4.01969 0 0
6.66811 2.54826 4.00586 0 0
6.75409 2.55324 3.90868 0 0
6.78075 2.55655 4.5632 0 0
6.81247 2.55673 3.85318 0 0
6.87201 2.5605 3.88123 0 0
6.93346 2.56432 3.93713 0 0
6.9657 2.56585 3.81192 0 0
6.99825 2.56759 3.7981 0 0
7.0315 2.56934 3.79822 0 0
7.06546 2.57107 3.79833 0 0
7.10007 2.57276 3.78452 0 0
7.13506 2.57458 3.81249 0 0
7.17055 2.57638 3.81261 0 0
7.20637 2.5782 3.7988 0 0
7.24245 2.58007 3.77108 0 0
7.27854 2.58209 3.7712 0 0
7.31454 2.58431 3.79917 0 0
7.35055 2.58659 3.79929 0 0
7.38638 2.58899 3.79941 0 0
7.42198 2.59148 3.77168 0 0
7.45706 2.59418 3.77179 0 0
7.49092 2.59747 3.96684 0 0
7.52554 2.59999 3.75809 0 0
7.59149 2.6065 3.80008 0 0
7.6238 2.60993 3.80018 0 0
7.65562 2.61355 3.82813 0 0
7.74904 2.6252 3.95375 0 0
7.77971 2.62922 3.9817 0 0
7.81002 2.63342 4.05141 0 0
7.84064 2.63732 3.98189 0 0
7.90059 2.64571 4.07955 0 0
7.96048 2.65384 4.09366 0 0
8.02051 2.66153 4.10778 0 0
8.05056 2.66525 4.13572 0 0
8.08082 2.66874 4.09405 0 0
8.11085 2.67231 4.10807 0 0
8.14079 2.67584 4.12209 0 0
8.17064 2.67933 4.13611 0 0
8.20043 2.6828 4.1362 0 0
8.23004 2.68629 4.15022 0 0
8.25961 2.68974 4.13639 0 0
8.31819 2.69679 4.16443 0 0
8.34735 2.70029 4.1506 0 0
8.37632 2.70387 4.15069 0 0
8.40505 2.70752 4.16471 0 0
8.51779 2.72234 4.16506 0 0
8.62623 2.73788 4.19325 0 0
3.67141 2.51873 3.88411 0 0
6.07678 2.5535 4.89494 0 0
6.19875 2.55775 4.5751 0 0
6.4085 2.56627 4.18593 0 0
6.4381 2.56753 4.08856 0 0
6.49611 2.57046 4.06091 0 0
6.5243 2.57229 4.20025 0 0
6.55349 2.57335 4.00541 0 0
6.58177 2.57494 4.03335 0 0
6.61011 2.57647 4.01952 0 0
6.63835 2.57809 4.03354 0 0
6.66694 2.57953 3.95009 0 0
6.78158 2.58635 3.89478 0 0
6.84065 2.58978 3.79751 0 0
6.87044 2.59173 3.83938 0 0
6.93196 2.5954 3.82566 0 0
6.96373 2.59718 3.81184 0 0
6.99624 2.59898 3.81195 0 0
7.02961 2.60068 3.79814 0 0
7.06375 2.60236 3.78433 0 0
7.0985 2.60406 3.78445 0 0
7.13375 2.60579 3.78456 0 0
7.16941 2.60757 3.78468 0 0
7.20543 2.60937 3.77088 0 0
7.24158 2.6113 3.771 0 0
7.27775 2.61339 3.79897 0 0
7.31411 2.61547 3.77125 0 0
7.35026 2.61778 3.78529 0 0
7.38642 2.62009 3.74364 0 0
7.42199 2.62274 3.78553 0 0
7.45734 2.62537 3.7578 0 0
7.49189 2.62829 3.78576 0 0
7.52578 2.63131 3.79979 0 0
7.55915 2.63438 3.77205 0 0
7.59168 2.6378 3.82786 0 0
7.62401 2.6412 3.81404 0 0
7.68698 2.64876 3.95348 0 0
7.74921 2.65647 3.9676 0 0
7.78004 2.66042 3.95378 0 0
7.81036 2.66461 4.02349 0 0
7.87076 2.67293 4.07938 0 0
7.93079 2.68117 4.0935 0 0
7.99063 2.68919 4.10761 0 0
8.02072 2.69299 4.12163 0 0
8.05088 2.69666 4.12173 0 0
8.08094 2.70028 4.13575 0 0
8.11106 2.7038 4.12192 0 0
8.14102 2.7073 4.12201 0 0
8.20056 2.7143 4.13613 0 0
8.23025 2.71775 4.1223 0 0
8.28887 2.72484 4.17819 0 0
8.31816 2.72828 4.15043 0 0
8.34722 2.73181 4.15053 0 0
8.59886 2.76498 4.17917 0 0
5.82724 2.57279 5.67378 0 0
6.07237 2.58478 5.49359 0 0
6.37722 2.59599 4.25538 0 0
6.46539 2.60058 4.19998 0 0
6.49481 2.6018 4.06083 0 0
6.52332 2.60347 4.11663 0 0
6.60896 2.60779 3.9916 0 0
6.66549 2.61101 4.00571 0 0
6.72243 2.61432 3.97805 0 0
6.75077 2.61627 4.07562 0 0
6.80935 2.6195 3.90872 0 0
6.83897 2.62123 3.86705 0 0
6.86908 2.62293 3.79753 0 0
6.89937 2.62483 3.81155 0 0
6.93028 2.62669 3.81166 0 0
6.9619 2.62851 3.81176 0 0
6.99444 2.63026 3.79795 0 0
7.02785 2.63197 3.79806 0 0
7.06214 2.63363 3.78425 0 0
7.097 2.63535 3.79829 0 0
7.13242 2.63705 3.79841 0 0
7.16817 2.63884 3.81246 0 0
7.20436 2.6406 3.78473 0 0
7.24065 2.64252 3.78485 0 0
7.27708 2.64451 3.77105 0 0
7.31348 2.64665 3.77117 0 0
7.34976 2.64895 3.78522 0 0
7.38593 2.65136 3.78534 0 0
7.42182 2.65392 3.78546 0 0
7.4572 2.65665 3.7995 0 0
7.49209 2.65942 3.77176 0 0
7.52596 2.66246 3.7858 0 0
7.55923 2.66556 3.77198 0 0
7.59191 2.66885 3.77209 0 0
7.65596 2.67591 3.80014 0 0
7.78014 2.69165 3.96763 0 0
7.8106 2.69579 4.0095 0 0
7.84103 2.69989 4.0096 0 0
7.87131 2.704 4.00969 0 0
7.90119 2.70829 4.07941 0 0
7.93116 2.71243 4.09343 0 0
