4.65031e-05 0.00136895 -0.0148064 0.999889 
6.37849 2.20001 3.97873 0 0
6.43737 2.20153 4.02051 0 0
6.4667 2.20222 3.99266 0 0
6.61205 2.20811 4.07621 0 0
6.66917 2.2123 4.1319 0 0
6.89777 2.23401 4.34073 0 0
4.72891 2.15311 4.31282 0 0
4.908 2.15905 4.27105 0 0
5.02918 2.16346 4.21536 0 0
5.09014 2.16559 4.09005 0 0
5.12067 2.16691 4.10397 0 0
5.15125 2.16822 4.10397 0 0
5.2125 2.17108 4.14574 0 0
5.27389 2.17387 4.10397 0 0
5.30459 2.17541 4.1179 0 0
5.33532 2.17681 4.0622 0 0
5.36605 2.17846 4.07612 0 0
5.39675 2.18006 4.0622 0 0
5.45809 2.18352 4.07612 0 0
5.4887 2.18521 4.04827 0 0
5.51926 2.18694 4.02042 0 0
5.5497 2.1888 4.03435 0 0
5.58003 2.19063 4.03435 0 0
5.61013 2.19242 4.03435 0 0
5.63996 2.19408 4.02042 0 0
5.66957 2.19569 3.99257 0 0
5.69905 2.1974 4.0065 0 0
5.72845 2.19906 3.99257 0 0
5.75777 2.20078 3.99257 0 0
5.78704 2.20263 4.02042 0 0
5.81628 2.20431 3.97864 0 0
5.84548 2.20617 3.99257 0 0
5.87468 2.20803 3.99257 0 0
5.90386 2.20993 4.00649 0 0
5.93305 2.21172 3.97864 0 0
5.96225 2.21358 3.97864 0 0
5.99146 2.21549 4.00648 0 0
6.02072 2.21702 3.90902 0 0
6.07932 2.22034 3.90901 0 0
6.10874 2.22176 3.89509 0 0
6.13827 2.22294 3.88117 0 0
6.16787 2.22394 3.86724 0 0
6.19753 2.2249 3.88117 0 0
6.22721 2.22579 3.8951 0 0
6.25687 2.22652 3.86725 0 0
6.28654 2.22731 3.88118 0 0
6.34576 2.22903 3.97865 0 0
6.37532 2.22978 3.97865 0 0
6.40482 2.23058 3.99257 0 0
6.58013 2.23695 4.07613 0 0
6.63757 2.24022 3.99258 0 0
6.69448 2.24479 4.02042 0 0
6.72286 2.24722 3.99257 0 0
6.92357 2.26808 4.53558 0 0
4.99405 2.19094 4.25705 0 0
5.02445 2.19171 4.11781 0 0
5.08537 2.19406 4.08997 0 0
5.14646 2.19664 4.10389 0 0
5.17705 2.19816 4.17351 0 0
5.20769 2.19948 4.15959 0 0
5.26905 2.20209 4.07605 0 0
5.29975 2.20358 4.07605 0 0
5.33046 2.20509 4.07605 0 0
5.36117 2.20663 4.06212 0 0
5.42257 2.20989 4.06212 0 0
5.45323 2.21166 4.08997 0 0
5.48383 2.21324 4.03427 0 0
5.51439 2.21502 4.03427 0 0
5.54482 2.21677 4.02035 0 0
5.57514 2.21852 4.00642 0 0
5.60524 2.22026 3.9925 0 0
5.63514 2.222 3.9925 0 0
5.66484 2.22374 4.00642 0 0
5.69438 2.22546 4.00642 0 0
5.72386 2.22715 3.99249 0 0
5.75326 2.22891 3.99249 0 0
5.78259 2.23077 4.00642 0 0
5.81192 2.2325 3.96464 0 0
5.8412 2.23438 3.96464 0 0
5.87047 2.23641 4.00641 0 0
5.89975 2.2383 3.99249 0 0
5.92903 2.24028 4.00641 0 0
5.9583 2.24219 4.00641 0 0
5.9876 2.2439 3.93679 0 0
6.01694 2.2458 3.95071 0 0
6.0463 2.24745 3.90894 0 0
6.07574 2.24907 3.89501 0 0
6.10523 2.25058 3.89501 0 0
6.13482 2.25187 3.88109 0 0
6.16448 2.25304 3.88109 0 0
6.19417 2.25409 3.88109 0 0
6.22388 2.2551 3.89501 0 0
6.25362 2.25601 3.89502 0 0
6.28331 2.25673 3.83932 0 0
6.31298 2.25773 3.89502 0 0
6.3426 2.25879 3.97856 0 0
6.3722 2.25941 3.89502 0 0
6.40173 2.26047 3.96464 0 0
6.43118 2.26134 3.95072 0 0
6.46055 2.26234 3.96465 0 0
6.51904 2.26446 3.95073 0 0
6.57703 2.26739 4.02035 0 0
6.71971 2.27812 4.06211 0 0
6.74807 2.28074 4.07603 0 0
6.77647 2.28352 4.1178 0 0
6.80496 2.28615 4.07602 0 0
6.83354 2.28908 4.11779 0 0
6.89119 2.29491 4.15955 0 0
7.00966 2.30674 4.22916 0 0
4.5758 2.20621 4.3962 0 0
4.71986 2.21051 4.34051 0 0
4.74938 2.21133 4.29874 0 0
4.80881 2.2133 4.31266 0 0
4.86867 2.21521 4.27089 0 0
4.92887 2.21739 4.28482 0 0
5.11108 2.224 4.15951 0 0
5.14162 2.22529 4.17343 0 0
5.1722 2.22651 4.14559 0 0
5.20283 2.22772 4.10381 0 0
5.23347 2.2292 4.14559 0 0
5.26415 2.23041 4.07597 0 0
5.29483 2.23177 4.04812 0 0
5.32554 2.23322 4.0342 0 0
5.35622 2.23484 4.07597 0 0
5.38692 2.23639 4.06204 0 0
5.41758 2.23803 4.07597 0 0
5.44822 2.23969 4.07597 0 0
5.47882 2.2413 4.04812 0 0
5.50933 2.24296 4.02027 0 0
5.53977 2.24466 4.00634 0 0
5.57005 2.24651 4.03419 0 0
5.6002 2.24822 4.02027 0 0
5.63015 2.24993 4.00634 0 0
5.65993 2.25167 4.00634 0 0
5.68957 2.25346 4.02026 0 0
5.71913 2.25512 3.97849 0 0
5.74862 2.25691 3.96457 0 0
5.77805 2.25876 3.96457 0 0
5.80746 2.26071 3.97849 0 0
5.83684 2.26264 3.97849 0 0
5.86622 2.26461 3.97849 0 0
5.89558 2.26663 3.99241 0 0
5.92495 2.26856 3.96456 0 0
5.95434 2.27058 3.97848 0 0
5.98374 2.27235 3.90886 0 0
6.01318 2.27434 3.93671 0 0
6.04265 2.27609 3.90886 0 0
6.07215 2.27798 3.96455 0 0
6.10175 2.2794 3.90886 0 0
6.1314 2.28081 3.89493 0 0
6.16111 2.2821 3.89493 0 0
6.19085 2.28315 3.83924 0 0
6.2206 2.28437 3.88101 0 0
6.25037 2.28532 3.85316 0 0
6.28011 2.28639 3.88101 0 0
6.30982 2.28741 3.89494 0 0
6.36908 2.28956 3.97848 0 0
6.39865 2.29048 3.95064 0 0
6.42812 2.29147 3.93671 0 0
6.4575 2.29263 3.96456 0 0
6.4868 2.2937 3.93672 0 0
6.51597 2.29502 3.95064 0 0
6.57395 2.29809 3.99241 0 0
6.65984 2.30406 4.02026 0 0
6.68826 2.30626 3.96456 0 0
6.71662 2.30888 4.02025 0 0
6.80181 2.31707 4.08986 0 0
6.83037 2.31994 4.1177 0 0
6.91715 2.32866 4.15946 0 0
4.19868 2.22396 4.70243 0 0
4.30184 2.22713 4.59104 0 0
4.48855 2.2328 4.53535 0 0
4.54364 2.23425 4.45181 0 0
4.65723 2.23738 4.3265 0 0
4.6863 2.2383 4.3265 0 0
4.8044 2.24184 4.24296 0 0
4.89421 2.24481 4.21512 0 0
4.92422 2.24778 4.91132 0 0
5.01503 2.24897 4.1455 0 0
5.0454 2.25012 4.1455 0 0
5.07581 2.25117 4.10373 0 0
5.10628 2.25234 4.08981 0 0
5.13679 2.25368 4.13158 0 0
5.19794 2.25618 4.11766 0 0
5.22856 2.25732 4.04804 0 0
5.2592 2.25879 4.08981 0 0
5.28986 2.2601 4.06197 0 0
5.32053 2.26158 4.07589 0 0
5.3512 2.263 4.06197 0 0
5.38185 2.26457 4.07589 0 0
5.41252 2.26601 4.03412 0 0
5.44311 2.26767 4.06197 0 0
5.47367 2.26929 4.04804 0 0
