0.00466313 0.00393825 0.00175825 0.99998 
6.6706 2.16783 4.30949 0 0
6.6991 2.16966 4.32367 0 0
6.728 2.17135 4.31 0 0
6.8458 2.17795 4.19964 0 0
6.96691 2.18551 4.20071 0 0
7.22944 2.19852 4.13343 0 0
7.29727 2.20193 4.10618 0 0
4.37582 2.18125 5.90332 0 0
4.40289 2.18127 5.9175 0 0
4.94117 2.17474 5.03136 0 0
5.00215 2.17541 5.04585 0 0
5.03315 2.1754 5.00436 0 0
5.06392 2.17566 4.99072 0 0
5.1882 2.17629 4.8387 0 0
5.37337 2.17955 4.74292 0 0
5.43505 2.18061 4.67386 0 0
5.4659 2.18099 4.61844 0 0
5.49576 2.182 4.64656 0 0
5.52584 2.1825 4.61899 0 0
5.58506 2.18375 4.60561 0 0
5.6143 2.18456 4.6198 0 0
5.703 2.18605 4.52314 0 0
5.73205 2.18696 4.53733 0 0
5.79077 2.1883 4.49609 0 0
5.8198 2.18926 4.51027 0 0
5.87815 2.19089 4.51081 0 0
5.9071 2.19187 4.53892 0 0
5.93647 2.19245 4.52526 0 0
5.96563 2.19314 4.53945 0 0
5.99473 2.19377 4.56757 0 0
6.05355 2.19409 4.59596 0 0
6.11267 2.19382 4.61044 0 0
6.23187 2.1919 4.52802 0 0
6.37944 2.19031 4.4737 0 0
6.40891 2.19008 4.44613 0 0
6.46675 2.1907 4.47451 0 0
6.49588 2.19104 4.44693 0 0
6.58287 2.19347 4.30847 0 0
6.61122 2.19509 4.32265 0 0
6.63981 2.1966 4.30898 0 0
6.66823 2.1984 4.32315 0 0
6.81414 2.20646 4.17127 0 0
6.84325 2.20872 4.2133 0 0
6.87329 2.21041 4.18572 0 0
6.90353 2.21223 4.17206 0 0
6.934 2.21413 4.17233 0 0
6.96476 2.2161 4.18652 0 0
6.99615 2.21791 4.1868 0 0
7.06147 2.22056 4.08991 0 0
7.22839 2.229 4.0914 0 0
7.26272 2.23046 4.04993 0 0
7.29657 2.23245 4.06416 0 0
4.31768 2.21035 5.9304 0 0
4.34463 2.21014 5.91673 0 0
4.99843 2.20385 5.03166 0 0
5.02943 2.20383 4.99018 0 0
5.09113 2.20422 4.94897 0 0
5.18343 2.20546 4.9359 0 0
5.21497 2.20534 4.85264 0 0
5.33841 2.2075 4.79807 0 0
5.36945 2.20792 4.75659 0 0
5.43105 2.20909 4.70145 0 0
5.49221 2.21016 4.63238 0 0
5.55172 2.21157 4.63293 0 0
5.58176 2.21183 4.5775 0 0
5.61106 2.21267 4.5917 0 0
5.64056 2.21331 4.57804 0 0
5.69954 2.2146 4.5368 0 0
5.72865 2.21557 4.55099 0 0
5.75815 2.21624 4.52341 0 0
5.78738 2.21714 4.52368 0 0
5.81662 2.21804 4.52394 0 0
5.84599 2.21883 4.51028 0 0
5.87511 2.2198 4.52447 0 0
5.90414 2.22085 4.55259 0 0
5.93448 2.22072 4.44147 0 0
5.96282 2.22223 4.55312 0 0
