0.00469191 0.00596741 0.00284896 0.999967 
4.52773 2.08989 5.03002 0 0
3.64328 2.37016 4.0993 0 0
4.85072 2.41017 7.80041 0 0
4.90823 2.43818 7.71706 0 0
3.6352 2.42638 4.09856 0 0
3.8837 2.42306 4.07307 0 0
4.49283 2.46466 7.39257 0 0
3.11062 2.55593 3.36797 0 0
3.67783 2.48067 4.07045 0 0
4.95516 2.55209 7.4794 0 0
5.04495 2.55282 7.57771 0 0
3.6254 2.56411 6.11604 0 0
3.86614 2.57361 6.75875 0 0
4.68487 2.58105 7.32335 0 0
4.80239 2.58124 7.38015 0 0
4.85771 2.58644 7.84015 0 0
5.07068 2.58252 7.61938 0 0
5.19061 2.58363 7.77367 0 0
5.4919 2.58932 8.06885 0 0
4.19956 2.607 6.7754 0 0
4.71067 2.61058 7.30931 0 0
4.85818 2.6105 7.36639 0 0
5.03753 2.61059 7.47947 0 0
5.09679 2.61178 7.61927 0 0
5.12685 2.61188 7.6474 0 0
5.21774 2.61141 7.66218 0 0
5.27822 2.61144 7.6906 0 0
5.36841 2.61264 7.78891 0 0
5.63726 2.63026 8.51534 0 0
3.74069 2.6234 6.10248 0 0
4.30688 2.63717 6.84567 0 0
4.53267 2.64129 7.3212 0 0
4.70634 2.64116 7.3646 0 0
4.8544 2.64003 7.33815 0 0
4.97261 2.64132 7.52028 0 0
5.0632 2.64054 7.52113 0 0
5.12288 2.64115 7.61916 0 0
5.33432 2.64108 7.73254 0 0
5.45537 2.64318 7.81721 0 0
5.54574 2.64874 8.01294 0 0
3.76057 2.65468 6.11622 0 0
3.83381 2.65669 6.14473 0 0
3.95731 2.66061 6.25724 0 0
4.30295 2.66727 6.84527 0 0
4.33138 2.66721 6.85946 0 0
4.3601 2.66698 6.85974 0 0
4.44424 2.66962 7.139 0 0
4.55731 2.67191 7.37677 0 0
4.5869 2.67082 7.29351 0 0
4.61696 2.66923 7.16847 0 0
4.73118 2.67176 7.42017 0 0
4.90994 2.66976 7.35224 0 0
4.94007 2.66934 7.3386 0 0
5.02944 2.66985 7.45084 0 0
5.08826 2.67142 7.6324 0 0
5.18042 2.66902 7.50796 0 0
5.21103 2.66839 7.4804 0 0
5.62918 2.69034 8.62596 0 0
3.4736 2.70004 6.73965 0 0
3.55973 2.68356 5.89118 0 0
3.82964 2.68704 6.10255 0 0
3.85387 2.68808 6.14454 0 0
4.27093 2.69706 6.78891 0 0
4.29871 2.69767 6.85879 0 0
4.32734 2.69742 6.85906 0 0
4.3565 2.69668 6.81757 0 0
4.47018 2.69863 7.05534 0 0
4.58477 2.6987 7.09819 0 0
4.61308 2.69927 7.15415 0 0
4.75724 2.70079 7.33652 0 0
4.84562 2.70087 7.39304 0 0
4.9944 2.70105 7.51976 0 0
5.05536 2.69978 7.46465 0 0
5.08604 2.69896 7.42317 0 0
5.11453 2.70098 7.61837 0 0
5.14748 2.69731 7.34021 0 0
5.17602 2.69931 7.53541 0 0
5.32576 2.70088 7.77353 0 0
5.78157 2.72884 8.58514 0 0
3.46903 2.73094 6.73923 0 0
3.6052 2.71406 5.93302 0 0
3.67892 2.71471 6.00333 0 0
3.72708 2.71642 6.10124 0 0
3.77642 2.71672 6.05992 0 0
3.80051 2.71767 6.10191 0 0
3.82493 2.7183 6.11606 0 0
4.02405 2.72426 6.41029 0 0
4.12932 2.72609 6.59228 0 0
4.1818 2.72891 6.85733 0 0
4.20988 2.72838 6.82974 0 0
4.29427 2.72821 6.87231 0 0
4.32331 2.72745 6.83082 0 0
4.35224 2.72704 6.81717 0 0
4.3808 2.7273 6.85921 0 0
4.41036 2.72639 6.80379 0 0
4.4358 2.73082 7.19389 0 0
4.49472 2.72899 7.06914 0 0
4.63819 2.72901 7.11225 0 0
4.84252 2.72966 7.26734 0 0
4.90152 2.73018 7.35144 0 0
4.96239 2.72861 7.26847 0 0
4.99267 2.72815 7.25484 0 0
5.11367 2.72701 7.26991 0 0
5.29168 2.73088 7.745 0 0
5.35143 2.73209 7.87087 0 0
5.6896 2.74772 8.11058 0 0
3.46398 2.76312 6.7388 0 0
3.7223 2.74831 6.11474 0 0
4.02051 2.75364 6.2985 0 0
4.26128 2.75893 6.87164 0 0
4.28948 2.75902 6.89975 0 0
4.31854 2.75828 6.85825 0 0
4.34786 2.75737 6.80284 0 0
4.37627 2.7578 6.8588 0 0
4.57584 2.75989 7.12523 0 0
4.63336 2.76002 7.15362 0 0
4.77946 2.75973 7.19676 0 0
4.83873 2.75945 7.21125 0 0
4.92767 2.75984 7.30955 0 0
4.95894 2.75805 7.18454 0 0
5.01167 2.76727 8.00653 0 0
5.04692 2.76061 7.47777 0 0
5.10802 2.75945 7.43657 0 0
5.1682 2.75963 7.50676 0 0
5.74625 2.78507 8.38918 0 0
3.44024 2.78871 5.81918 0 0
3.51942 2.78118 5.88964 0 0
3.5951 2.77919 5.97392 0 0
3.74232 2.78021 6.08669 0 0
3.81005 2.7884 6.71388 0 0
3.83976 2.78215 6.17113 0 0
3.98957 2.78483 6.32569 0 0
4.05961 2.79599 7.28708 0 0
